StartDate,EndDate,ResponseId,B2A_1,B2_1A,B2L_7,A2I_5,A2S_5,D1_15,Wave,gbt__v1__n__shareofwallet_1__Whirlpool,S3,S4,S5,S6a,S6b,gbt__v1__b__total_brand_awareness_3__Nilkamal furniture,gbt__v1__b__total_brand_awareness_3__Local furniture shop,gbt__v1__b__total_brand_awareness_3__Carpenter,gbt__v1__n__shareofwallet_3__Godrej,gbt__v1__n__shareofwallet_3__Ikea,gbt__v1__n__shareofwallet_3__Urban Ladder
03-10-2022 22:16,03-10-2022 22:27,R_2tL3R0MEkzfSJZU,9,jdjjdjdjjd,,,,Samsung,1,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 01:58,05-10-2022 02:00,R_3HFV5exoRYXgLNx,,,,,,HomeTown,1,,Bangalore,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 02:03,05-10-2022 02:05,R_3PbmYc7XmZPhi9s,9,daw,,,,Godrej,1,,Hyderabad,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:31,05-10-2022 09:37,R_2eQkOyRo0UoDId9,6,Nothing,,,,Samsung,1,0.2,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:31,05-10-2022 09:37,R_XiB60afpDckbZst,,,,,,"Godrej,Whirlpool,Nilkamal furniture",1,,Kochi,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",,,,,,
05-10-2022 09:32,05-10-2022 09:37,R_AcZfzh5W1NYIQxP,,,,,,"Ozone,Ikea,Urban Ladder,Flipkart Furniture,Tata",1,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:32,05-10-2022 09:38,R_2w4AKQp0pTKBDin,,,,,,Godrej,1,,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:32,05-10-2022 09:38,R_2tgGZaeZcZrNLhI,8,good product,,,,"Godrej,Voltas",1,,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",,,,,,
05-10-2022 09:34,05-10-2022 09:39,R_3HTTYnSTBMbZw0U,7,because of its durability,,,,Pepperfry,1,,Chennai,22-25,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Personal computer/ Laptop",,,,,,
05-10-2022 09:35,05-10-2022 09:39,R_6nHYAxHP7rLeGXL,,,,,,Samsung,1, ,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:32,05-10-2022 09:39,R_pxZERepvuKv9wcN,9,It is a premium brand .,,,,"Haier,Ozone",1,0.4,Chennai,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:30,05-10-2022 09:39,R_3JLBEXeJtOOjO4R,,,,,,"Godrej,Harrison",1,,Kochi,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:32,05-10-2022 09:39,R_2sXyma0CzxkLSkE,,,,,,Godrej,1,,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Personal computer/ Laptop",,,,,,
05-10-2022 09:32,05-10-2022 09:39,R_eKzlhFr6jBxTZNT,6,this is what I heard about it,,,,LG,1, ,Chennai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:31,05-10-2022 09:40,R_C8D2Ke28FPD1NPr,,,,Fitbit,,"Harrison,Pepperfry,HomeCenter,Flipkart Furniture,Nilkamal furniture,Carpenter",1,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:32,05-10-2022 09:40,R_2zJ7SNuKjeRFK4s,,,,,,"Godrej,Ikea",1,,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:32,05-10-2022 09:40,R_21ySbou1hkdVwk3,,,,,,Godrej,1,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",,,,,,
05-10-2022 09:33,05-10-2022 09:41,R_2wMh9tdKEVzyXQe,7,Service & availability is poor.,,,,"Samsung,LG",1, ,Chennai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:32,05-10-2022 09:41,R_2y967cTpzK05OJo,,,,,,Tata,1,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",,,,,,
05-10-2022 09:34,05-10-2022 09:41,R_3D6X9lEkAeLDWt7,8,It is best quality products ,,,,"LG,Voltas,Haier",1, ,Lucknow,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",,,,,,
05-10-2022 09:33,05-10-2022 09:42,R_1C1qWJZuyFZIS7E,,,,,,"Godrej,Harrison",1,,Bangalore,26-30,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:31,05-10-2022 09:42,R_YSyboQYA5ea92zD,,,,,,"Godrej,HomeCenter,AmazonBasics,Honeywell",1,,Pune,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:32,05-10-2022 09:43,R_2xFySDi2jyVdlTQ,2,"Because it is bad
",,,Samsung,"Godrej,LG,Tata",1,,Kolkata,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:33,05-10-2022 09:43,R_2BgFh1b7CWiZuLY,,,,,,Godrej,1,,Bangalore,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:35,05-10-2022 09:43,R_O1L1w5QQKpHD7vb,9,Because it is a very good company and i like this compaany very much,,,,"Haier,Urban Ladder,Pepperfry",1,,Mumbai,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:32,05-10-2022 09:43,R_BRqsIB2w48C8f0B,,,,V,,"Ikea,HomeCenter,Flipkart Furniture,Local furniture shop,Tata,Honeywell",1,,Bangalore,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:31,05-10-2022 09:43,R_3PEIhaZeMrh5Acu,5,"because of it's after sales services, not having wide range of products",,,,"Voltas,Nilkamal furniture,Local furniture shop",1,,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:33,05-10-2022 09:44,R_3iVyM8tcZBeKQGQ,9,7,,,,"Samsung,Whirlpool",1,0.2,Ahmedabad,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:35,05-10-2022 09:44,R_1KeZOzIeUPtCU4M,7,Because I have used it's products and according to my experience I have rated it,,,,Tata,1, ,Bangalore,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:39,05-10-2022 09:45,R_Dr5wFb4G01yPvvr,9,I prefer other brands,,,,"Samsung,LG,Whirlpool",1,0.2,Kochi,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",,,,,,
05-10-2022 09:33,05-10-2022 09:45,R_eEYym5J5vjzQDLj,8,"I heard from my friend, personally don't used.",,,,"Nilkamal furniture,Local furniture shop",1,,Kolkata,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",,,,,,
05-10-2022 09:32,05-10-2022 09:45,R_3lzfWHrUPk0wKO2,8,Their products are good but lack in finish look.,,,,Godrej,1,0.2,New Delhi NCR,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:32,05-10-2022 09:45,R_2PAaNaWbzK0L0DV,Extremely likely10,it is a reputed company,,,,"Godrej,LG,Whirlpool,Voltas,Local furniture shop",1,,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:41,05-10-2022 09:45,R_1n7NxdAOiKXGgEM,9,Vdvdv dvdvdv fbfbfb f fbdvdvcfbfbd C fbfh,,,,Godrej,1,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",,,,,,
05-10-2022 09:34,05-10-2022 09:46,R_2dM953BbbtRnzVp,,,8,,,"Godrej,Yale,Europa",1,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:38,05-10-2022 09:46,R_2D5FGsVvTSV2vNM,9,Its a great brand and I love the locks and I have so many furnitres ,,,,"Samsung,AmazonBasics",1,0.2,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:39,05-10-2022 09:46,R_2fBrj7nBYSVP3lQ,Extremely likely10,Because I satisfied with thieir products ,Extremely likely10,,,"Godrej,LG,Dormakaba",1,0.2,Kolkata,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:35,05-10-2022 09:46,R_1q84mTAf1qBb91z,8,It is trustworthy brand and it is in market for longer time,,,,"Godrej,Nilkamal furniture",1,,Pune,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",,,,,,
05-10-2022 09:39,05-10-2022 09:46,R_3HA1LZW71rojDTH,9,Its worth,,,,"Godrej,LG,Whirlpool,Pepperfry,HomeTown,Flipkart Furniture",1,,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:33,05-10-2022 09:47,R_3EbaZtAc1Eegt9m,,,,Furniture 24,,Godrej,1,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:40,05-10-2022 09:47,R_3fIDqjV2AepoWOz,,,,,,"Godrej,Tata",1,,Chennai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:35,05-10-2022 09:47,R_3L6blnBD7X6GSQ1,6,I'm not interested in that brand ,,,,"Samsung,Harrison",1, ,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:41,05-10-2022 09:48,R_3oX5NykP9fmgt6b,,,,,,"Godrej,Pepperfry",1,,Mumbai,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:39,05-10-2022 09:48,R_1QxRfklSrjynJpW,,,,,,Tata,1,,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:41,05-10-2022 09:49,R_3qakvSdoFloxWUz,,,,,,Harrison,1,,New Delhi NCR,46-50,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:42,05-10-2022 09:49,R_3hltbDir3mA9i4Z,,,1,,,Godrej,1,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",,,,,,
05-10-2022 09:33,05-10-2022 09:49,R_xsISHoKx0gtM6DD,,,,,,"Godrej,Amazon Furniture,Flipkart Furniture",1,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van",,,,,,
05-10-2022 09:33,05-10-2022 09:50,R_6LjM4UtXnOCGtFf,,,,,,Godrej,1,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:43,05-10-2022 09:52,R_3oGDkAJAHczmmWI,,,Extremely likely10,,,Godrej,1,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",,,,,,
05-10-2022 09:38,05-10-2022 09:52,R_2wylJ6TPHhIcvyF,,,9,,,"Godrej,Harrison,Honeywell",1,,Lucknow,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",,,,,,
